First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Joseph,Nardella,FO,91,Whipsnakes,9,7,2,2,2,0,5,10,0.2,7,0.7,0,0,0,0,8,3,66,0,0,0.5746606334841629,127,94,221,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Ryan,Ambler,M,13,Archers,9,15,13,13,13,0,2,37,0.35135135135135137,21,0.5675675675675675,3,0,2,0.6666666666666666,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Conor,Gaffney,FO,38,Archers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.391304347826087,9,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff,Trainor,M,43,Archers,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Blaze,Riorden,G,0,Chaos,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,7,23,0,0,0,0,0,0,11.478987694450895,149,0.610655737704918,103,8,0,0,0,0,9,0,0,0,0
Chris,Cloutier,A,2,Chaos,9,19,12,12,12,0,7,33,0.36363636363636365,23,0.696969696969697,2,0,1,0.5,10,1,21,0,0,0,0,0,0,0,0,0,0,0,2,5.5,0,2,0,0,0,0,0
Mac,O'Keefe,A,3,Chaos,9,13,11,9,7,2,2,29,0.3103448275862069,18,0.6206896551724138,11,0.18181818181818182,7,0.6363636363636364,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Eric,Scott,M,5,Chaos,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,Adler,FO,9,Chaos,7,3,1,1,1,0,2,4,0.25,3,0.75,0,0,0,0,9,4,38,0,0,0.48502994011976047,81,86,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod,Neumann,D,88,Chaos,9,2,0,0,0,0,2,5,0,3,0.6,4,0,2,0.5,1,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhane,Smith,M,92,Chaos,9,20,7,7,7,0,13,22,0.3181818181818182,17,0.7727272727272727,0,0,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
