First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Eric,Scott,M,4,Chaos,7,4,2,2,2,0,2,16,0.125,11,0.6875,1,0,1,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob,Stover,G,0,Whipsnakes,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,Warner,M,13,Whipsnakes,6,0,0,0,0,0,0,2,0,1,0.5,2,0,1,0.5,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Tim,Muller,D,14,Whipsnakes,6,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Drenner,A,22,Waterdogs,5,4,3,3,3,0,1,14,0.21428571428571427,6,0.42857142857142855,0,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike,Chanenchuk,M,1,Whipsnakes,6,14,10,8,6,2,4,28,0.2857142857142857,16,0.5714285714285714,12,0.16666666666666666,6,0.5,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Michael,Ehrhardt,LSM,28,Whipsnakes,6,7,4,2,0,2,3,9,0.2222222222222222,4,0.4444444444444444,8,0.25,4,0.5,2,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,Dunn,D,33,Whipsnakes,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Rambo,A,9,Whipsnakes,6,25,7,7,7,0,18,22,0.3181818181818182,14,0.6363636363636364,0,0,0,0,15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle,Bernlohr,G,35,Whipsnakes,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,0,0,0,0,0,0,8.439439209377156,83,0.6287878788,51,2,0,0,0,0,0,0,0,0,0
