First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Wes,Berg,A,55,Redwoods,5,4,4,4,4,0,0,8,0.5,7,0.875,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Mike,Bocklet,A,7,Chaos,2,3,1,1,1,0,2,4,0.25,2,0.5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan,Fowler,FO,7,Archers,5,0,0,0,0,0,0,3,0,2,0.6666666666666666,0,0,0,0,1,0,9,0,0,0.43902439024390244,18,23,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0
John,Prendergast,M,2,Chrome,5,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Curtis,Corley,D,42,Archers,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greyson,Torain,M,6,Chaos,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon,Mathias,A,45,Chrome,6,7,6,6,6,0,1,26,0.23076923076923078,16,0.6153846153846154,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Johnny,Surdick,D,18,Chaos,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cade,van Raaphorst,D,77,Atlas,9,6,5,3,1,2,1,9,0.3333333333333333,4,0.4444444444444444,6,0.3333333333333333,3,0.5,2,8,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Noah,Richard,LSM,25,Atlas,9,4,4,3,2,1,0,3,1,3,1,1,1,1,1,0,4,23,0,0,0.25,2,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tyler,Dunn,M,23,Redwoods,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0.13333333333333333,2,13,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ryder,Garnsey,A,50,Redwoods,9,24,14,14,14,0,10,40,0.35,28,0.7,0,0,0,0,13,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
John,Haus,M,26,Whipsnakes,8,13,9,8,7,1,4,31,0.25806451612903225,15,0.4838709677419355,5,0.2,3,0.6,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Isaac,Paparo,LSM,43,Whipsnakes,6,1,1,1,1,0,0,1,1,1,1,0,0,0,0,2,3,5,0,0,0.2,2,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Clarke,Petterson,A,45,Redwoods,7,12,9,9,9,0,3,22,0.4090909090909091,12,0.5454545454545454,0,0,0,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Chris,Sabia,D,16,Chrome,8,0,0,0,0,0,0,1,0,1,1,1,0,1,1,2,5,11,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
